id;order_num;order_description;delivery_address;date_ordered;due_date;customer_id;production_time;production_cost;price
1;25734;cyan Sports Oregon;Rustic program;2023-04-21;2023-04-22;95333;60534;28976;12937
2;17921;Handmade;(Vatican Identity Functionality;2023-04-22;2023-04-22;74520;75757;83420;59685
3;35146;Money Cheese bus;Peso;2023-04-22;2023-04-21;84161;39387;87164;89048
4;56075;Michigan primary copying;Inverse;2023-04-21;2023-04-22;98900;9549;36758;71528
5;89753;harness;data-warehouse Savings payment;2023-04-22;2023-04-21;19595;79888;59659;10745
6;45336;Loan hub;payment;2023-04-22;2023-04-22;98613;82214;67244;26871
7;31333;withdrawal Internal Divide;repurpose;2023-04-22;2023-04-22;92289;46727;73085;41779
8;31830;mobile;deliver monitor;2023-04-21;2023-04-22;63652;30013;9206;48275
9;41326;Baht Savings;compress;2023-04-21;2023-04-21;2500;69237;77153;92061
10;59779;silver withdrawal Granite;virtual HDD;2023-04-21;2023-04-22;38740;82114;46915;52427
