id;order_num;order_description;delivery_address;date_ordered;due_date;customer_id;production_time;production_cost;price
1;23740;Seamless transform Central;teal;2023-04-25;2023-04-25;65172;14757;19545;14358
2;54975;Soft;Plastic FTP calculating;2023-04-24;2023-04-25;92519;18759;7658;31185
3;68956;capacitor;synthesize;2023-04-24;2023-04-25;12841;62568;52157;14110
4;84464;Account engine;Adaptive;2023-04-25;2023-04-24;88420;13457;31003;88127
5;59846;Sports Chair digital;Fresh secondary;2023-04-25;2023-04-25;65304;73217;44059;57696
6;44516;Maine;state recontextualize circuit;2023-04-24;2023-04-25;19866;13706;80364;28358
7;14929;International;Health Table;2023-04-25;2023-04-24;61822;3742;50647;20748
8;380;action-items state;Chicken one-to-one Ruble;2023-04-25;2023-04-25;28047;17336;99910;24820
9;98069;Pants;wireless Loan;2023-04-25;2023-04-25;58819;70602;79392;56022
10;83070;bypassing Steel Chief;Borders Utah;2023-04-24;2023-04-25;7356;22664;95023;41577
